index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
337,CHEMBL3666505,CCNC(=O)c1ccnc(Nc2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)ccc2C)c1,intermediate,467.573,4.7748,2,5,5.966576245
338,CHEMBL3666506,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1cc(C(=O)N2CCN(C)CC2)ccn1,intermediate,522.653,4.4127,1,6,5.417936637
339,CHEMBL3666507,CCc1nnc(Nc2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)ccc2C)[nH]1,intermediate,414.513,4.3106,2,5,5.488116639
340,CHEMBL3666508,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)NCC(C)C,active,436.531,4.7452,2,3,7.602059991
341,CHEMBL3666509,COCCNC(=O)Nc1cc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cnn1,inactive,408.462,2.13598,2,6,4.301029996
342,CHEMBL3666510,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cn3)CC2)cc1NC(=O)c1ccc(N2CCC2)nc1,active,480.572,4.1389,1,6,6.167491087
343,CHEMBL3666511,CC(C)CNC(=O)Nc1cc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cnn1,inactive,406.49,3.14558,2,5,4.301029996
344,CHEMBL3666512,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cn3)CC2)cc1NC(=O)NC(C)C,intermediate,405.502,3.8114,2,4,5.537602002
345,CHEMBL3666513,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cn3)CC2)cc1NC(=O)NC1CCC1,intermediate,417.513,3.9555,2,4,5.27083521
346,CHEMBL3666514,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cn3)CC2)cc1NC(=O)NC1CCCC1,intermediate,431.54,4.3456,2,4,5.560667306
347,CHEMBL3666515,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cn3)CC2)cc1NC(=O)NC1CCOCC1,intermediate,447.539,3.582,2,5,5.056505484
348,CHEMBL3666516,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)c1ccc(N2CCC2)nc1,active,497.574,4.8251,1,5,7.602059991
349,CHEMBL3666517,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cn3)CC2)cc1NC(=O)NC1CCOC1,intermediate,433.512,3.1919,2,5,5.787812396
350,CHEMBL3666518,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)c1cnc(N2CCC2)nc1,active,498.562,4.2201,1,6,7.327902142
351,CHEMBL3666519,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cn3)CC2)cc1NC(=O)NC1CCOC1,active,451.502,3.2731,2,5,6.573488739
352,CHEMBL3666520,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cn3)CC2)cc1NC(=O)N[C@H]1CCOC1,active,451.502,3.2731,2,5,6.161150909
353,CHEMBL3666521,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cn3)CC2)cc1NC(=O)NC1CCOCC1,intermediate,465.529,3.6632,2,5,5.931814138
354,CHEMBL3666522,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)NC1CCOC1,active,450.514,3.8781,2,4,7.431798276
355,CHEMBL3666523,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)N[C@H]1CCOC1,active,450.514,3.8781,2,4,6.709965389
356,CHEMBL3666524,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cn3)CC2)cc1NC(=O)NC1COC1,intermediate,437.475,2.883,2,5,5.991399828
357,CHEMBL3666525,N#Cc1ccc(C2(F)CCN(C(=O)c3ccc(Cl)c(NC(=O)NC4CCOC4)c3)CC2)cc1,active,470.932,4.22308,2,4,7.522878745
358,CHEMBL3666526,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cn3)CC2)cc1NC(=O)c1ccc(N2CCC2)nc1,active,498.562,4.2201,1,6,6.744727495
