"molecule_ChemBL_ID	canonical_Smiles	MW	LogP	pIC50"
"CHEMBL480960	Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1CO	337.38	3.76	5.68"
"CHEMBL367364	O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1	309.29	3.24	8.15"
"CHEMBL182186	O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])cc1	284.27	1.91	7.52"
"CHEMBL2386395	O=c1cc(-c2ccc([N+](=O)[O-])cc2)oc2cccc(O)c12	283.24	3.07	6.44"
"CHEMBL3238281	C[C@](O)(COc1ccc(C(F)(F)F)cc1)C(=O)N1CCc2c(C#N)cccc21	390.36	3.3	7.48"
"CHEMBL238365	N#Cc1ccc(-c2ccccc2Cl)cc1C(F)(F)F	281.66	4.9	8.01"
"CHEMBL448454	COc1cc(Sc2c(C)cccc2C)ccc1C#N	269.37	4.33	7.37"
"CHEMBL504110	COc1cc(SCC2CC2)ccc1C#N	219.31	3.07	6.77"
"CHEMBL503687	CC(C)CCSc1ccc(C#N)c(C(F)(F)F)c1	273.32	4.72	6.29"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	5.34"
"CHEMBL4743529	CC1(C)NC(=O)N(Cc2ccc(F)c(C(F)(F)F)c2)C1=O	304.24	2.67	5.38"
"CHEMBL235159	COc1ccc(-c2ccc(C#N)c(C(F)(F)F)c2)cc1	277.25	4.25	7.25"
"CHEMBL238366	COc1ccccc1-c1ccc(C#N)c(C(F)(F)F)c1	277.25	4.25	7.43"
"CHEMBL2441094	COc1cccc(C(=O)Nc2ccc(Oc3ccc(O)cc3)c(C)c2)c1	349.39	4.75	6.66"
"CHEMBL507671	N#Cc1ccc(Sc2ccccc2F)cc1C(F)(F)F	297.28	4.87	7.27"
"CHEMBL504110	COc1cc(SCC2CC2)ccc1C#N	219.31	3.07	7.26"
