Molecule_ChemBL_ID,Canonical Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ring Systems 2 [idcode]
CHEMBL507671,N#Cc1ccc(Sc2ccccc2F)cc1C(F)(F)F,297.28,0,4.87,IC50,'=',54,nM,7.27,gFp@DiTt@@@
CHEMBL504110,COc1cc(SCC2CC2)ccc1C#N,219.31,0,3.07,IC50,'=',55,nM,7.26,gFp@DiTt@@@
CHEMBL462022,COc1cc(Sc2c(C)cc(C)cc2C)ccc1C#N,283.4,0,4.64,IC50,'=',69,nM,7.16,gFp@DiTt@@@
CHEMBL501649,COc1cc(Oc2ccc(C)cc2)ccc1C#N,239.27,0,3.67,IC50,'=',209,nM,6.68,gFp@DiTt@@@
CHEMBL448978,CC(C)(C)Sc1ccc(C#N)c(C(F)(F)F)c1,259.3,0,4.47,IC50,'=',315,nM,6.5,gFp@DiTt@@@
CHEMBL3084689,N#Cc1ccc(N2[C@@H]3CC[C@H]2C[C@@H](O)C3)cc1Cl,262.74,0,2.7,IC50,'=',31.7,nM,7.5,gFp@DiTt@@@
CHEMBL3410856,Cc1c(N2C3CCC2CC(C)(O)C3)ccc(C#N)c1Cl,290.79,0,3.4,IC50,'=',2.11,nM,8.68,gFp@DiTt@@@
CHEMBL1099140,CN1C(=S)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)C1(C)C,327.33,0,2.92,IC50,'=',15,nM,7.82,gFp@DiTt@@@
CHEMBL2441107,COc1cccc(C(=O)Nc2ccc(Oc3ccc(O)cc3)cc2)c1,335.36,0,4.45,IC50,'=',1900,nM,5.72,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',173,nM,6.76,gFp@DiTt@@@
CHEMBL4584527,CN(C[C@](C)(O)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1)c1ccc(C#N)c(-c2ccccc2)c1,478.47,0,4.94,IC50,'=',48,nM,7.32,gFp@DiTt@@@
CHEMBL1923999,O=C(O)c1cccc(CSc2ccc(Cl)cc2Cl)c1,313.21,0,4.98,IC50,'=',50000,nM,4.3,gFp@DiTt@@@
CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,292.21,0,2.32,IC50,'=',26,nM,7.58,gFp@DiTt@@@
CHEMBL2386392,O=c1cc(-c2ccc(C(F)(F)F)cc2)oc2cccc(O)c12,306.24,0,4.18,IC50,'=',1230.27,nM,5.91,gFp@DiTt@@@
CHEMBL462026,COc1ccccc1Sc1ccc(C#N)c(C(F)(F)F)c1,309.31,0,4.74,IC50,'=',56,nM,7.25,gFp@DiTt@@@
CHEMBL4742694,CC(=O)c1cnn(C[C@](C)(O)C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)c1,380.33,0,2.37,IC50,'=',758,nM,6.12,gFp@DiTt@@@
CHEMBL4798843,C[C@](O)(Cn1cc(I)cn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,464.19,0,2.77,IC50,'=',2038,nM,5.69,gFp@DiTt@@@
