level_0,index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
161,161,CHEMBL2322365,Cc1cc(C)c(-c2nc3ccnc(N4CCC4)c3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,490.61100000000033,5.343320000000005,1,5,6.318758762624412
162,162,CHEMBL3661719,Cc1cc(C)c(-c2nc3cc(OC4COC4)ncc3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,507.59400000000034,4.910820000000005,1,6,7.045757490560675
163,163,CHEMBL3661720,Cc1cc(C)c(-c2nc3ccnc(N4CCCC4)c3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,504.6380000000003,5.733420000000005,1,5,7.045757490560675
164,164,CHEMBL3661721,COc1ccc([C@H]2[C@@H]3CN(C(=O)c4ccc(C)c(NC(=O)c5ccc(NC(C)C)nc5)c4)C[C@@H]32)cc1,active,484.6000000000002,4.956820000000004,2,5,6.455931955649724
165,165,CHEMBL3661722,COc1ccc([C@H]2[C@@H]3CN(C(=O)c4ccc(C)c(NC(=O)NC5CCOC5)c4)C[C@@H]32)cc1,active,435.5240000000002,3.3996200000000023,2,4,6.337242168318426
166,166,CHEMBL3661723,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1ccc(C(=O)NC(C)C)cn1,intermediate,481.60000000000025,5.163300000000004,2,5,5.638272163982407
167,167,CHEMBL3661724,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1ccc(C(=O)N2CCN(C)CC2)cn1,active,522.6530000000004,4.412700000000004,1,6,6.050609993355087
168,168,CHEMBL3661725,N#Cc1ccc(C2CCN(C(=O)c3ccnc(NC(=O)c4ccc(N5CCCC5)nc4)c3)CC2)cc1,active,480.57200000000034,4.2205800000000036,1,6,6.161150909262744
169,169,CHEMBL3661726,CC(C)CNC(=O)Nc1cc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)ccn1,inactive,405.5020000000001,3.750580000000003,2,4,4.483068191131987
170,170,CHEMBL3661727,N#Cc1ccc(C2CCN(C(=O)c3ccnc(NC(=O)N4CCCC4)c3)CC2)cc1,inactive,403.4860000000003,3.600780000000003,1,4,4.301029995663981
171,171,CHEMBL3661728,Cc1ccc(NC(=O)c2ccc(NC(C)C)nc2)c(C)c1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,inactive,513.6170000000004,5.743720000000005,2,5,4.301029995663981
172,172,CHEMBL3661729,CCOc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(CC)cc2C)[nH]1,active,443.5510000000003,4.632700000000004,1,5,6.136677139879544
173,173,CHEMBL3661730,COCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)ccc2C)[nH]1,intermediate,415.4970000000002,3.818000000000003,1,5,5.645891560852599
174,174,CHEMBL3661731,COCc1nnc(-c2cccc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c2)[nH]1,inactive,401.47000000000014,3.5095800000000024,1,5,4.301029995663981
175,175,CHEMBL3661732,Cc1cc(C)c(-c2nnc(CC3CCOC3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,469.58900000000034,4.559020000000004,1,5,6.522878745280337
176,176,CHEMBL3661733,COCCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C)[nH]1,active,443.5510000000002,4.1689200000000035,1,5,6.657577319177793
177,177,CHEMBL3661734,COCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C)[nH]1,active,429.5240000000002,4.126420000000003,1,5,6.346787486224656
178,178,CHEMBL3661735,Cc1cc(C)c(-c2nnc([C@H]3CCCO3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,455.5620000000003,4.831520000000005,1,5,6.102372908709558
179,179,CHEMBL3661736,CNC(=O)c1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C)[nH]1,intermediate,442.5230000000002,3.339620000000002,2,5,5.876148359032914
180,180,CHEMBL3661737,Cc1cc(C)c(-c2nnc(C(=O)N(C)C)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,intermediate,456.5500000000003,3.6818200000000028,1,5,5.690369832574101
181,181,CHEMBL3661738,Cc1cc(C)c(-c2nnc([C@@H]3CCCO3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,455.5620000000003,4.831520000000005,1,5,6.619788758288394
182,182,CHEMBL3661739,Cc1cc(C)c(-c2nnc(C3CCOCC3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,469.58900000000034,4.874020000000004,1,5,6.301029995663981
183,183,CHEMBL3661740,Cc1cc(C)c(-c2nnc(CC3CCCO3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,469.58900000000034,4.701520000000004,1,5,6.1938200260161125
184,184,CHEMBL3661741,Cc1cc(C)c(-c2nnc(CC#N)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,intermediate,424.50800000000027,4.046100000000003,1,5,5.91721462968355
185,185,CHEMBL3661742,Cc1cc(C)c(-c2nnc(CCC#N)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,438.53500000000025,4.436200000000004,1,5,6.42021640338319
186,186,CHEMBL3661743,Cc1cc(C)c(-c2nnc(CC3COC3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,inactive,455.5620000000003,4.1689200000000035,1,5,4.301029995663981
187,187,CHEMBL3661744,Cc1cc(C2CC2)c(-c2nnc(CCN(C)C)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,482.63200000000035,4.653100000000004,1,5,6.756961951313706
188,188,CHEMBL3661745,COCCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CC2)[nH]1,active,469.5890000000003,4.737900000000004,1,5,6.853871964321762
189,189,CHEMBL3661746,Cc1cc(C2CC2)c(-c2nnc(CN(C)C)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,468.6050000000003,4.610600000000003,1,5,6.494850021680094
190,190,CHEMBL3661747,Cc1cc(C2CC2)c(-c2nnc(CN3CCC3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,480.6160000000003,4.754700000000004,1,5,6.086186147616283
191,191,CHEMBL3661748,Cc1cc(C2CC2)c(-c2nnc(CC(=O)N(C)C)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,496.6150000000003,4.179700000000003,1,5,6.585026652029182
192,192,CHEMBL3661749,CCc1cc(C)c(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nnc(CCOC)[nH]1,active,457.57800000000026,4.422900000000003,1,5,6.6020599913279625
193,193,CHEMBL3661750,CCc1cc(C)c(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1-c1nnc(CCOC)[nH]1,active,475.56800000000027,4.504100000000004,1,5,6.7447274948966935
194,194,CHEMBL3661751,CCOCc1nnc(-c2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)c(C)cc2CC)[nH]1,active,475.56800000000027,4.851700000000004,1,5,6.619788758288394
195,195,CHEMBL3661752,CCc1cc(C)c(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nnc(C2CCOC2)[nH]1,active,469.5890000000003,4.737900000000003,1,5,6.522878745280337
196,196,CHEMBL3661753,CCc1cc(C)c(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1-c1nnc(COC(C)C)[nH]1,active,489.59500000000025,5.240200000000005,1,5,6.376750709602099
197,197,CHEMBL3661754,Cc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,439.5630000000003,5.247520000000004,1,4,7.2839966563652006
198,198,CHEMBL3661755,COCCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,483.6160000000003,5.1280000000000046,1,5,7.259637310505756
199,199,CHEMBL3661756,COCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,469.58900000000034,5.085500000000005,1,5,6.978810700930062
200,200,CHEMBL3661757,Cc1cc(C2CCC2)c(-c2nnc(CO)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,455.5620000000003,4.431400000000004,2,5,7.698970004336019
201,201,CHEMBL3661758,COCCc1nnc(-c2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,501.60600000000034,5.209200000000005,1,5,7.522878745280337
202,202,CHEMBL3661759,COCCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C(F)(F)F)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,526.6030000000003,6.2751200000000065,1,4,7.045757490560675
203,203,CHEMBL3661760,Cc1nnc(-c2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,457.5530000000003,5.328720000000005,1,4,7.2441251443275085
204,204,CHEMBL3661761,Cc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C(F)(F)F)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,482.55000000000024,6.394640000000005,1,3,7.154901959985743
205,205,CHEMBL3661762,CCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,453.59000000000026,5.501500000000005,1,4,7.259637310505756
206,206,CHEMBL3661763,CCc1nnc(-c2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,471.58000000000027,5.582700000000005,1,4,7.3979400086720375
207,207,CHEMBL3661764,Cc1cc(C2CCC2)c(-c2nnc(C(C)C)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,467.61700000000036,6.062500000000006,1,4,6.939302159646388
208,208,CHEMBL3661765,Cc1cc(C2CCC2)c(-c2nnc(C(C)C)[nH]2)cc1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,active,485.60700000000037,6.143700000000006,1,4,6.8696662315049934
209,209,CHEMBL3661762,CCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)[nH]1,inactive,453.59000000000026,5.501500000000005,1,4,4.301029995663981
210,210,CHEMBL3661766,Cc1cc(C2CCC2)c(-c2nnc(C(F)(F)F)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,493.53300000000036,5.957900000000007,1,4,6.0
211,211,CHEMBL3661767,Cc1cc(C2CCC2)c(-c2nnc(C(F)F)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,475.54300000000035,5.876700000000006,1,4,6.795880017344075
212,212,CHEMBL3661768,Cc1cc(C2CCC2)c(-c2nnc(C(F)F)[nH]2)cc1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,active,493.53300000000036,5.957900000000006,1,4,6.903089986991944
213,213,CHEMBL3661769,CCc1nnc(-c2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)ccc2C2CCC2)[nH]1,active,457.5530000000002,5.2742800000000045,1,4,7.221848749616356
214,214,CHEMBL3661770,CCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)ccc2C2CCC2)[nH]1,active,439.5630000000002,5.193080000000005,1,4,7.045757490560675
215,215,CHEMBL3661771,Cc1nnc(-c2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)ccc2C2CCC2)[nH]1,active,443.52600000000024,5.020300000000004,1,4,7.045757490560675
216,216,CHEMBL3661772,COCCc1nnc(-c2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)ccc2C2CCC2)[nH]1,active,487.5790000000003,4.900780000000005,1,5,7.154901959985743
217,217,CHEMBL3661773,Cc1cc(C2CCC2)c(-c2nnc([C@@H]3CCCO3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,495.6270000000003,5.790600000000006,1,5,6.853871964321762
218,218,CHEMBL3661774,Cc1cc(C2CCC2)c(-c2nnc([C@@H]3CCCO3)[nH]2)cc1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,active,513.6170000000003,5.871800000000006,1,5,6.619788758288394
219,219,CHEMBL3661775,Cc1cc(C2CCC2)c(-c2nnc([C@H]3CCCO3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,495.6270000000003,5.790600000000006,1,5,6.698970004336019
220,220,CHEMBL3661776,Cc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCCC2)[nH]1,active,453.5900000000003,5.637620000000005,1,4,6.508638306165727
